ï»¿State,County,Date Detected,HPAI Strain,Type of Wild Bird,Sampling Source
Ohio,Ottawa,3/30/2022,EA H5,American black duck,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,American black duck,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,American black duck,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,American black duck,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,American black duck,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,Duck (unidentified),Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,Duck (unidentified),Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,Mallard,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,Mallard,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,Mallard,Live bird NWDP
Minnesota,Dakota,3/31/2022,EA H5,Bald eagle,Wild bird mortality MN DNR/NWDP (23)
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
South Dakota,Aurora,3/31/2022,EA H5,Snow goose,Hunter harvest NWDP
North Dakota,Foster,3/31/2022,EA H5,Ross's goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Snow goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Ross's goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Ross's goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Ross's goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Ross's goose,Wild bird mortality NWDP
North Dakota,Foster,3/31/2022,EA H5,Ross's goose,Wild bird mortality NWDP
North Dakota,Stutsman,3/31/2022,EA H5,Ross's goose,Wild bird mortality NWDP
